timestep,score1,score2

1766,2,20
6335,14,20
4480,10,20
10501,20,11
17492,20,8
1338,0,20
2258,0,20
3178,0,20
1574,20,11
1003,0,20
3211,8,20
1482,20,9
2382,20,0
4697,11,20
2126,20,12
2885,12,20
2159,20,9
1543,12,20
1255,20,4
2518,2,20
2992,18,20
1710,12,20
1170,0,20
696,8,20
586,0,20
1345,2,20
3077,5,20
3377,8,20
1003,0,20
2454,6,20
6711,14,20
2009,0,20
2929,0,20
2156,3,20
2076,5,20
5133,10,20
6912,4,20
3634,10,20
4270,9,20
10743,20,17
1573,20,11
1003,0,20
2090,0,20
1003,0,20
1171,0,20
900,20,0
900,20,0
2675,2,20
3861,0,20
8303,0,20
1172,0,20
2261,0,20
523,4,20
915,1,20
1410,4,20
12394,10,20
1171,0,20
2780,6,20
3211,8,20
2479,3,20
